person_id,first_name,last_name,team,description,all_nba_team_number,season,month,week,conference,type,subtype1,subtype2,subtype3
23,Dennis,Rodman,Chicago Bulls,All-Defensive Team,1,1995-96,,,1610612741,Award,Kia Motors,KIADT,
23,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1,1990-91,,,1610612765,Award,Kia Motors,KIADT,
23,Dennis,Rodman,Detroit Pistons,IBM Award,,1991-92,,,,Award,IBM,IBMAW,
23,Dennis,Rodman,Detroit Pistons,NBA Player of the Month,,1991-92,01/01/1992,,,Award,Kia Motors,KIPMO,
200771,Sergio,Rodriguez,Spain,Olympic Silver Medal,,2012,,,,Award,Olympic,Silver,
200771, Sergio,Rodríguez,,Olympic Bronze Medal,,2016,,,,Award,Olympic,Bronze,
78007,Johnny,Rogers,Spain,Olympic Appearance,,2000,,,,Award,Olympic,Appearance,
915,Rodney,Rogers,Phoenix Suns,NBA Sixth Man of the Year,,1999-00,,,,Award,Sporting News,KISMY,
78014,Wayne,Rollins,Atlanta Hawks,All-Defensive Team,1,1983-84,,,1610612737,Award,Kia Motors,KIADT,
78014,Wayne,Rollins,Atlanta Hawks,All-Defensive Team,2,1982-83,,,1610612737,Award,Kia Motors,KIADT,
200765,Rajon,Rondo,Boston Celtics,All-Defensive Team,2,2008-09,,,1610612738,Award,Kia Motors,KIADT,
200765,Rajon,Rondo,Boston Celtics,All-Defensive Team,1,2009-10,,,1610612738,Award,Kia Motors,KIADT,
200765,Rajon,Rondo,Boston Celtics,All-Defensive Team,1,2010-11,,,1610612738,Award,Kia Motors,KIADT,
200765,Rajon,Rondo,Boston Celtics,All-Defensive Team,2,2011-12,,,1610612738,Award,Kia Motors,KIADT,
200765,Rajon,Rondo,Boston Celtics,NBA Player of the Week,,2010-11,,2010-11-01T00:00:00,East,Award,Kia Motors,KIPWK,
200765,Rajon,Rondo,Boston Celtics,All-NBA,3,2011-12,,,1610612738,Award,Kia Motors,KIANT,
200765,Rajon,Rondo,Boston Celtics,All-Rookie Team,2,2006-07,,,1610612738,Award,Kia Motors,KIART,
201565,Derrick,Rose,Chicago Bulls,NBA Rookie of the Year,,2008-09,,,,Award,Kia Motors,KIROY,
201565,Derrick,Rose,Chicago Bulls,NBA Rookie of the Month,,2008-09,12/01/2008,,East,Award,Kia Motors,KIRMO,
201565,Derrick,Rose,Chicago Bulls,NBA Player of the Week,,2010-11,,2010-11-15T00:00:00,East,Award,Kia Motors,KIPWK,
201565,Derrick,Rose,Chicago Bulls,NBA Player of the Month,,2010-11,03/01/2011,,East,Award,Kia Motors,KIPMO,
201565,Derrick,Rose,Chicago Bulls,NBA Player of the Month,,2009-10,04/01/2010,,East,Award,Kia Motors,KIPMO,
201565,Derrick,Rose,Chicago Bulls,NBA Player of the Week,,2010-11,,2011-01-17T00:00:00,East,Award,Kia Motors,KIPWK,
201565,Derrick,Rose,Chicago Bulls,All-NBA,1,2010-11,,,1610612741,Award,Kia Motors,KIANT,
201565,Derrick,Rose,Chicago Bulls,NBA Rookie of the Month,,2008-09,11/01/2008,,East,Award,Kia Motors,KIRMO,
201565,Derrick,Rose,Chicago Bulls,NBA Player of the Week,,2011-12,,2012-01-09T00:00:00,East,Award,Kia Motors,KIPWK,
201565,Derrick,Rose,Chicago Bulls,NBA Player of the Week,,2011-12,,2012-02-27T00:00:00,East,Award,Kia Motors,KIPWK,
201565,Derrick,Rose,Chicago Bulls,NBA Player of the Week,,2009-10,,2010-01-04T00:00:00,East,Award,Kia Motors,KIPWK,
201565,Derrick,Rose,Chicago Bulls,All-Rookie Team,1,2008-09,,,1610612741,Award,Kia Motors,KIART,
